"trial_type","trial_index","plugin_version","time_elapsed","participant","experiment_start_time","experiment_seed","age","sex","art_experience","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","rotation","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_nv","chosen_ang","chosen_curv","chosen_rot","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","1952","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","6449","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","7464","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","1440","778","true","chrome","142.0.0","false","Mac OS","true","60","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","8481","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","1440","778","true","chrome","142.0.0","false","Mac OS","true","59.99","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","60191","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","51709","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","64143","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","true","","","","","","","","","","","","","","","","2947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","67487","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","3334","","{""Age"":""20""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","70274","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","2785","","{""Sex"":""Female""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","122613","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","","","","","","436","0.9937321937321938","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","129929","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","7315","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 50 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","136137","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","6207","
    <div style=""width:800px;"">
      <p>On each trial, you will see three shapes. You will do <b>9 blocks</b> in total.</p>
      <p>Your task is to select the shape that is the <b>odd-one-out</b>.</p>
      <p>There is no strictly correct answer, we are interested in your intuitive judgment.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","2.1.0","162842","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","26703","
    <div style=""width:800px;"">
      <p>However, there are also <b>attention check trials</b>.</p>
      <p>On these trials, there is <b>exactly one correct odd-one-out</b> (two shapes are identical, and the third looks similar).</p>
      <ul>
        <p>There are several attention check trials in every block</p>
        <p>You must answer at least <b>80%</b> of these correctly in a block to successfully pass that block.</p>
        <p>If you fail <b>3 or more blocks</b>, your data may be <b>rejected</b>, and you may choose to stop the experiment at any time.</p>
      </ul>
      <p>After each block, you will see feedback indicating whether you passed that block.</p>
      <p>Here is an <b>example attention check triplet</b>:</p>
      
  <div style=""display:flex; justify-content:center; gap:20px; margin-top:15px;"">
    <img class=""ooo-img"" src=""images/curv0/stim_nv3_ang135_curv0_rot+090.png""><img class=""ooo-img"" src=""images/curv0/stim_nv3_ang135_curv0_rot+090.png""><img class=""ooo-img"" src=""images/curv0/stim_nv3_ang45_curv0_rot+090.png"">
  </div>

    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","12","2.1.0","168588","411219","1764921492085","107658861","20","Female","Yes, informal or self-taught experience","","","","","","","","","","","","","","","","","5744","
    <div style=""width:800px;"">
      <p>You will now complete <b>8 practice trials</b>:</p>
      <ul>
        <p><b>5 practice trials</b> with <b>no obvious correct answer</b>.</p>
        <p><b>3 practice trials</b> that are <b>attention checks</b> with a clearly correct odd-one-out.</p>
      </ul>
      </ul>
      <p>On attention check practice trials, you will be told that it is an attention check.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
