"trial_type","trial_index","plugin_version","time_elapsed","participant","experiment_start_time","experiment_seed","age","sex","art_experience","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","rotation","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_nv","chosen_ang","chosen_curv","chosen_rot","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","1151","913438","1764982627153","692058353","21","Female","No experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","1990","913438","1764982627153","692058353","21","Female","No experience","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","3023","913438","1764982627153","692058353","21","Female","No experience","","","","","","1440","812","true","safari","26.1.0","false","Mac OS","true","59.06","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","4038","913438","1764982627153","692058353","21","Female","No experience","","","","","","1440","812","true","safari","26.1.0","false","Mac OS","true","60","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","98316","913438","1764982627153","692058353","21","Female","No experience","","","","","","","","","","","","","","","","","94273","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","103188","913438","1764982627153","692058353","21","Female","No experience","true","","","","","","","","","","","","","","","","3867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","108643","913438","1764982627153","692058353","21","Female","No experience","","","","","","","","","","","","","","","","","5423","","{""Age"":""21""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","111196","913438","1764982627153","692058353","21","Female","No experience","","","","","","","","","","","","","","","","","2550","","{""Sex"":""Female""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","242577","913438","1764982627153","692058353","21","Female","No experience","","","","","","","","","","","","","","","","","","","","","","104","0.23703703703703702","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","367648","913438","1764982627153","692058353","21","Female","No experience","","","","","","","","","","","","","","","","","125067","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 50 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","383673","913438","1764982627153","692058353","21","Female","No experience","","","","","","","","","","","","","","","","","16023","
    <div style=""width:800px;"">
      <p>On each trial, you will see three shapes. You will do <b>9 blocks</b> in total.</p>
      <p>Your task is to select the shape that is the <b>odd-one-out</b>.</p>
      <p>There is no strictly correct answer, we are interested in your intuitive judgment.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
