"trial_type","trial_index","plugin_version","time_elapsed","participant","experiment_start_time","experiment_seed","age","sex","art_experience","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","rotation","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_nv","chosen_ang","chosen_curv","chosen_rot","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","1160","202295","1764819983541","485802185","22","Female","Yes, formal training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","2206","202295","1764819983541","485802185","22","Female","Yes, formal training","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","3357","202295","1764819983541","485802185","22","Female","Yes, formal training","","","","","","1440","778","true","chrome","142.0.0","false","Mac OS","true","52.44","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","4515","202295","1764819983541","485802185","22","Female","Yes, formal training","","","","","","1440","778","true","chrome","142.0.0","false","Mac OS","true","52.88","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","6242","202295","1764819983541","485802185","22","Female","Yes, formal training","","","","","","","","","","","","","","","","","1722","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","8287","202295","1764819983541","485802185","22","Female","Yes, formal training","true","","","","","","","","","","","","","","","","1037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","12329","202295","1764819983541","485802185","22","Female","Yes, formal training","","","","","","","","","","","","","","","","","4020","","{""Age"":""22""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","13927","202295","1764819983541","485802185","22","Female","Yes, formal training","","","","","","","","","","","","","","","","","1594","","{""Sex"":""Female""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","41331","202295","1764819983541","485802185","22","Female","Yes, formal training","","","","","","","","","","","","","","","","","","","","","","492","1.1213675213675214","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","53782","202295","1764819983541","485802185","22","Female","Yes, formal training","","","","","","","","","","","","","","","","","12450","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 50 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
