"trial_type","trial_index","plugin_version","time_elapsed","participant","experiment_seed","age","sex","art_experience","strategy_open","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","seeds","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_range","chosen_N","chosen_curv","chosen_seed","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","1420","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","7143","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","8177","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","718","730","true","chrome","145.0.0","false","Windows 10","true","58.67","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","13527","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","1440","731","true","chrome","145.0.0","false","Windows 10","true","60.35","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","16574","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","","","","","","","","","","","","3045","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","20559","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","true","","","","","","","","","","","","","","","","2973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","27969","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","","","","","","","","","","","","7401","","{""Age"":""18""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","30399","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","","","","","","","","","","","","2427","","{""Sex"":""Female""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","44510","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","","","","","","","","","","","","","","","","","104","0.23703703703703702","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","49444","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","","","","","","","","","","","","4931","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 30 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","50596","70072","958868867","18","Female","Yes, informal or self-taught experience","curved/straight line, number of spikes, etc","","","","","","","","","","","","","","","","","1149","
    <div style=""width:800px;"">
      <p>On each trial, you will see three shapes. You will do <b>9 blocks</b> in total.</p>
      <p>Your task is to select the shape that is the <b>odd-one-out</b>.</p>
      <p>Please focus on the <b>how curvy the shapes are</b> when deciding which one is most different from the other two.</p>
      <p>There is no strictly correct answer, we are interested in your intuitive judgment.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
