"trial_type","trial_index","plugin_version","time_elapsed","participant","expType","experiment_seed","age","sex","art_experience","strategy_open","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","seeds","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_range","chosen_N","chosen_curv","chosen_seed","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","1156","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","1907","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","6074","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","","","","","","1470","919","true","chrome","144.0.0","false","Mac OS","true","60.66","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","7092","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","","","","","","1470","919","true","chrome","144.0.0","false","Mac OS","true","59.98","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","9897","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","","","","","","","","","","","","","","","","","2805","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","13834","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","true","","","","","","","","","","","","","","","","2934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","16632","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","","","","","","","","","","","","","","","","","2792","","{""Age"":""18""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","18598","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","","","","","","","","","","","","","","","","","1964","","{""Sex"":""Male""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","53396","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","","","","","","","","","","","","","","","","","","","","","","440","1.002849002849003","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","59394","67006","noInstr","120496379","18","Male","Limited, occasional experience","type of protrusion, number of protrusions, size, sharpness of angles","","","","","","","","","","","","","","","","","5997","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 30 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
